section,profile,family,m,q,n,metric,value,unit,notes
communication,audited_prime_m112,audited_prime,112,12547,3050,full_exchange_paper_compact_bits,512400,bits,
communication,audited_prime_m112,audited_prime,112,12547,3050,full_exchange_paper_compact_bytes,64050,bytes,
communication,audited_prime_m112,audited_prime,112,12547,3050,full_exchange_canonical_hash_encoding_bits,2347904,bits,
communication,audited_prime_m112,audited_prime,112,12547,3050,full_exchange_canonical_hash_encoding_bytes,293488,bytes,
communication,audited_prime_m112,audited_prime,112,12547,3050,network_wire_encoding_defined,False,boolean,
communication,audited_prime_m128,audited_prime,128,16411,3584,full_exchange_paper_compact_bits,645120,bits,
communication,audited_prime_m128,audited_prime,128,16411,3584,full_exchange_paper_compact_bytes,80640,bytes,
communication,audited_prime_m128,audited_prime,128,16411,3584,full_exchange_canonical_hash_encoding_bits,2758016,bits,
communication,audited_prime_m128,audited_prime,128,16411,3584,full_exchange_canonical_hash_encoding_bytes,344752,bytes,
communication,audited_prime_m128,audited_prime,128,16411,3584,network_wire_encoding_defined,False,boolean,
communication,audited_prime_m160,audited_prime,160,25601,4687,full_exchange_paper_compact_bits,843660,bits,
communication,audited_prime_m160,audited_prime,160,25601,4687,full_exchange_paper_compact_bytes,105458,bytes,
communication,audited_prime_m160,audited_prime,160,25601,4687,full_exchange_canonical_hash_encoding_bits,3605120,bits,
communication,audited_prime_m160,audited_prime,160,25601,4687,full_exchange_canonical_hash_encoding_bytes,450640,bytes,
communication,audited_prime_m160,audited_prime,160,25601,4687,network_wire_encoding_defined,False,boolean,
communication,audited_prime_m256,audited_prime,256,65537,8192,full_exchange_paper_compact_bits,1671168,bits,
communication,audited_prime_m256,audited_prime,256,65537,8192,full_exchange_paper_compact_bytes,208896,bytes,
communication,audited_prime_m256,audited_prime,256,65537,8192,full_exchange_canonical_hash_encoding_bits,6296960,bits,
communication,audited_prime_m256,audited_prime,256,65537,8192,full_exchange_canonical_hash_encoding_bytes,787120,bytes,
communication,audited_prime_m256,audited_prime,256,65537,8192,network_wire_encoding_defined,False,boolean,
communication,audited_prime_m32,audited_prime,32,1031,640,full_exchange_paper_compact_bits,84480,bits,
communication,audited_prime_m32,audited_prime,32,1031,640,full_exchange_paper_compact_bytes,10560,bytes,
communication,audited_prime_m32,audited_prime,32,1031,640,full_exchange_canonical_hash_encoding_bits,497024,bits,
communication,audited_prime_m32,audited_prime,32,1031,640,full_exchange_canonical_hash_encoding_bytes,62128,bytes,
communication,audited_prime_m32,audited_prime,32,1031,640,network_wire_encoding_defined,False,boolean,
communication,audited_prime_m48,audited_prime,48,2309,1073,full_exchange_paper_compact_bits,154512,bits,
communication,audited_prime_m48,audited_prime,48,2309,1073,full_exchange_paper_compact_bytes,19314,bytes,
communication,audited_prime_m48,audited_prime,48,2309,1073,full_exchange_canonical_hash_encoding_bits,829568,bits,
communication,audited_prime_m48,audited_prime,48,2309,1073,full_exchange_canonical_hash_encoding_bytes,103696,bytes,
communication,audited_prime_m48,audited_prime,48,2309,1073,network_wire_encoding_defined,False,boolean,
communication,audited_prime_m64,audited_prime,64,4099,1536,full_exchange_paper_compact_bits,239616,bits,
communication,audited_prime_m64,audited_prime,64,4099,1536,full_exchange_paper_compact_bytes,29952,bytes,
communication,audited_prime_m64,audited_prime,64,4099,1536,full_exchange_canonical_hash_encoding_bits,1185152,bits,
communication,audited_prime_m64,audited_prime,64,4099,1536,full_exchange_canonical_hash_encoding_bytes,148144,bytes,
communication,audited_prime_m64,audited_prime,64,4099,1536,network_wire_encoding_defined,False,boolean,
communication,audited_prime_m80,audited_prime,80,6421,2024,full_exchange_paper_compact_bits,315744,bits,
communication,audited_prime_m80,audited_prime,80,6421,2024,full_exchange_paper_compact_bytes,39468,bytes,
communication,audited_prime_m80,audited_prime,80,6421,2024,full_exchange_canonical_hash_encoding_bits,1559936,bits,
communication,audited_prime_m80,audited_prime,80,6421,2024,full_exchange_canonical_hash_encoding_bytes,194992,bytes,
communication,audited_prime_m80,audited_prime,80,6421,2024,network_wire_encoding_defined,False,boolean,
communication,audited_prime_m96,audited_prime,96,9221,2529,full_exchange_paper_compact_bits,424872,bits,
communication,audited_prime_m96,audited_prime,96,9221,2529,full_exchange_paper_compact_bytes,53110,bytes,
communication,audited_prime_m96,audited_prime,96,9221,2529,full_exchange_canonical_hash_encoding_bits,1947776,bits,
communication,audited_prime_m96,audited_prime,96,9221,2529,full_exchange_canonical_hash_encoding_bytes,243472,bytes,
communication,audited_prime_m96,audited_prime,96,9221,2529,network_wire_encoding_defined,False,boolean,
communication,paper_literal_m112,paper_literal,112,12544,3050,full_exchange_paper_compact_bits,512400,bits,
communication,paper_literal_m112,paper_literal,112,12544,3050,full_exchange_paper_compact_bytes,64050,bytes,
communication,paper_literal_m112,paper_literal,112,12544,3050,full_exchange_canonical_hash_encoding_bits,2347904,bits,
communication,paper_literal_m112,paper_literal,112,12544,3050,full_exchange_canonical_hash_encoding_bytes,293488,bytes,
communication,paper_literal_m112,paper_literal,112,12544,3050,network_wire_encoding_defined,False,boolean,
communication,paper_literal_m128,paper_literal,128,16384,3584,full_exchange_paper_compact_bits,602112,bits,
communication,paper_literal_m128,paper_literal,128,16384,3584,full_exchange_paper_compact_bytes,75264,bytes,
communication,paper_literal_m128,paper_literal,128,16384,3584,full_exchange_canonical_hash_encoding_bits,2758016,bits,
communication,paper_literal_m128,paper_literal,128,16384,3584,full_exchange_canonical_hash_encoding_bytes,344752,bytes,
communication,paper_literal_m128,paper_literal,128,16384,3584,network_wire_encoding_defined,False,boolean,
communication,paper_literal_m160,paper_literal,160,25600,4687,full_exchange_paper_compact_bits,843660,bits,
communication,paper_literal_m160,paper_literal,160,25600,4687,full_exchange_paper_compact_bytes,105458,bytes,
communication,paper_literal_m160,paper_literal,160,25600,4687,full_exchange_canonical_hash_encoding_bits,3605120,bits,
communication,paper_literal_m160,paper_literal,160,25600,4687,full_exchange_canonical_hash_encoding_bytes,450640,bytes,
communication,paper_literal_m160,paper_literal,160,25600,4687,network_wire_encoding_defined,False,boolean,
communication,paper_literal_m256,paper_literal,256,65536,8192,full_exchange_paper_compact_bits,1572864,bits,
communication,paper_literal_m256,paper_literal,256,65536,8192,full_exchange_paper_compact_bytes,196608,bytes,
communication,paper_literal_m256,paper_literal,256,65536,8192,full_exchange_canonical_hash_encoding_bits,6296960,bits,
communication,paper_literal_m256,paper_literal,256,65536,8192,full_exchange_canonical_hash_encoding_bytes,787120,bytes,
communication,paper_literal_m256,paper_literal,256,65536,8192,network_wire_encoding_defined,False,boolean,
communication,paper_literal_m32,paper_literal,32,1024,640,full_exchange_paper_compact_bits,76800,bits,
communication,paper_literal_m32,paper_literal,32,1024,640,full_exchange_paper_compact_bytes,9600,bytes,
communication,paper_literal_m32,paper_literal,32,1024,640,full_exchange_canonical_hash_encoding_bits,497024,bits,
communication,paper_literal_m32,paper_literal,32,1024,640,full_exchange_canonical_hash_encoding_bytes,62128,bytes,
communication,paper_literal_m32,paper_literal,32,1024,640,network_wire_encoding_defined,False,boolean,
communication,paper_literal_m48,paper_literal,48,2304,1073,full_exchange_paper_compact_bits,154512,bits,
communication,paper_literal_m48,paper_literal,48,2304,1073,full_exchange_paper_compact_bytes,19314,bytes,
communication,paper_literal_m48,paper_literal,48,2304,1073,full_exchange_canonical_hash_encoding_bits,829568,bits,
communication,paper_literal_m48,paper_literal,48,2304,1073,full_exchange_canonical_hash_encoding_bytes,103696,bytes,
communication,paper_literal_m48,paper_literal,48,2304,1073,network_wire_encoding_defined,False,boolean,
communication,paper_literal_m64,paper_literal,64,4096,1536,full_exchange_paper_compact_bits,221184,bits,
communication,paper_literal_m64,paper_literal,64,4096,1536,full_exchange_paper_compact_bytes,27648,bytes,
communication,paper_literal_m64,paper_literal,64,4096,1536,full_exchange_canonical_hash_encoding_bits,1185152,bits,
communication,paper_literal_m64,paper_literal,64,4096,1536,full_exchange_canonical_hash_encoding_bytes,148144,bytes,
communication,paper_literal_m64,paper_literal,64,4096,1536,network_wire_encoding_defined,False,boolean,
communication,paper_literal_m80,paper_literal,80,6400,2024,full_exchange_paper_compact_bits,315744,bits,
communication,paper_literal_m80,paper_literal,80,6400,2024,full_exchange_paper_compact_bytes,39468,bytes,
communication,paper_literal_m80,paper_literal,80,6400,2024,full_exchange_canonical_hash_encoding_bits,1559936,bits,
communication,paper_literal_m80,paper_literal,80,6400,2024,full_exchange_canonical_hash_encoding_bytes,194992,bytes,
communication,paper_literal_m80,paper_literal,80,6400,2024,network_wire_encoding_defined,False,boolean,
communication,paper_literal_m96,paper_literal,96,9216,2529,full_exchange_paper_compact_bits,424872,bits,
communication,paper_literal_m96,paper_literal,96,9216,2529,full_exchange_paper_compact_bytes,53110,bytes,
communication,paper_literal_m96,paper_literal,96,9216,2529,full_exchange_canonical_hash_encoding_bits,1947776,bits,
communication,paper_literal_m96,paper_literal,96,9216,2529,full_exchange_canonical_hash_encoding_bytes,243472,bytes,
communication,paper_literal_m96,paper_literal,96,9216,2529,network_wire_encoding_defined,False,boolean,
communication,toy,toy,8,257,16,full_exchange_paper_compact_bits,1728,bits,
communication,toy,toy,8,257,16,full_exchange_paper_compact_bytes,216,bytes,
communication,toy,toy,8,257,16,full_exchange_canonical_hash_encoding_bits,17792,bits,
communication,toy,toy,8,257,16,full_exchange_canonical_hash_encoding_bytes,2224,bytes,
communication,toy,toy,8,257,16,network_wire_encoding_defined,False,boolean,
storage,audited_prime_m112,audited_prime,112,12547,3050,M:math_ideal_bytes,16279375,bytes,
storage,audited_prime_m112,audited_prime,112,12547,3050,M:numpy_int64_bytes,74420000,bytes,
storage,audited_prime_m112,audited_prime,112,12547,3050,M:optimized_storage_bytes,18605000,bytes,
storage,audited_prime_m112,audited_prime,112,12547,3050,master_secret_d:math_ideal_bytes,5338,bytes,
storage,audited_prime_m112,audited_prime,112,12547,3050,master_secret_d:numpy_int64_bytes,24400,bytes,
storage,audited_prime_m112,audited_prime,112,12547,3050,master_secret_d:optimized_storage_bytes,6100,bytes,
storage,audited_prime_m112,audited_prime,112,12547,3050,master_public_P:math_ideal_bytes,5338,bytes,
storage,audited_prime_m112,audited_prime,112,12547,3050,master_public_P:numpy_int64_bytes,24400,bytes,
storage,audited_prime_m112,audited_prime,112,12547,3050,master_public_P:optimized_storage_bytes,6100,bytes,
storage,audited_prime_m112,audited_prime,112,12547,3050,user_private_key_d_i0_d_i1:math_ideal_bytes,10675,bytes,
storage,audited_prime_m112,audited_prime,112,12547,3050,user_private_key_d_i0_d_i1:numpy_int64_bytes,48800,bytes,
storage,audited_prime_m112,audited_prime,112,12547,3050,user_private_key_d_i0_d_i1:optimized_storage_bytes,12200,bytes,
storage,audited_prime_m112,audited_prime,112,12547,3050,user_public_key_P_i0_P_i1:math_ideal_bytes,10675,bytes,
storage,audited_prime_m112,audited_prime,112,12547,3050,user_public_key_P_i0_P_i1:numpy_int64_bytes,48800,bytes,
storage,audited_prime_m112,audited_prime,112,12547,3050,user_public_key_P_i0_P_i1:optimized_storage_bytes,12200,bytes,
storage,audited_prime_m112,audited_prime,112,12547,3050,ephemeral_state_x_y_z:math_ideal_bytes,16013,bytes,
storage,audited_prime_m112,audited_prime,112,12547,3050,ephemeral_state_x_y_z:numpy_int64_bytes,73200,bytes,
storage,audited_prime_m112,audited_prime,112,12547,3050,ephemeral_state_x_y_z:optimized_storage_bytes,18300,bytes,
storage,audited_prime_m112,audited_prime,112,12547,3050,one_party_transcript_vectors:math_ideal_bytes,32025,bytes,
storage,audited_prime_m112,audited_prime,112,12547,3050,one_party_transcript_vectors:numpy_int64_bytes,146400,bytes,
storage,audited_prime_m112,audited_prime,112,12547,3050,one_party_transcript_vectors:optimized_storage_bytes,36600,bytes,
storage,audited_prime_m128,audited_prime,128,16411,3584,M:math_ideal_bytes,24084480,bytes,
storage,audited_prime_m128,audited_prime,128,16411,3584,M:numpy_int64_bytes,102760448,bytes,
storage,audited_prime_m128,audited_prime,128,16411,3584,M:optimized_storage_bytes,25690112,bytes,
storage,audited_prime_m128,audited_prime,128,16411,3584,master_secret_d:math_ideal_bytes,6720,bytes,
storage,audited_prime_m128,audited_prime,128,16411,3584,master_secret_d:numpy_int64_bytes,28672,bytes,
storage,audited_prime_m128,audited_prime,128,16411,3584,master_secret_d:optimized_storage_bytes,7168,bytes,
storage,audited_prime_m128,audited_prime,128,16411,3584,master_public_P:math_ideal_bytes,6720,bytes,
storage,audited_prime_m128,audited_prime,128,16411,3584,master_public_P:numpy_int64_bytes,28672,bytes,
storage,audited_prime_m128,audited_prime,128,16411,3584,master_public_P:optimized_storage_bytes,7168,bytes,
storage,audited_prime_m128,audited_prime,128,16411,3584,user_private_key_d_i0_d_i1:math_ideal_bytes,13440,bytes,
storage,audited_prime_m128,audited_prime,128,16411,3584,user_private_key_d_i0_d_i1:numpy_int64_bytes,57344,bytes,
storage,audited_prime_m128,audited_prime,128,16411,3584,user_private_key_d_i0_d_i1:optimized_storage_bytes,14336,bytes,
storage,audited_prime_m128,audited_prime,128,16411,3584,user_public_key_P_i0_P_i1:math_ideal_bytes,13440,bytes,
storage,audited_prime_m128,audited_prime,128,16411,3584,user_public_key_P_i0_P_i1:numpy_int64_bytes,57344,bytes,
storage,audited_prime_m128,audited_prime,128,16411,3584,user_public_key_P_i0_P_i1:optimized_storage_bytes,14336,bytes,
storage,audited_prime_m128,audited_prime,128,16411,3584,ephemeral_state_x_y_z:math_ideal_bytes,20160,bytes,
storage,audited_prime_m128,audited_prime,128,16411,3584,ephemeral_state_x_y_z:numpy_int64_bytes,86016,bytes,
storage,audited_prime_m128,audited_prime,128,16411,3584,ephemeral_state_x_y_z:optimized_storage_bytes,21504,bytes,
storage,audited_prime_m128,audited_prime,128,16411,3584,one_party_transcript_vectors:math_ideal_bytes,40320,bytes,
storage,audited_prime_m128,audited_prime,128,16411,3584,one_party_transcript_vectors:numpy_int64_bytes,172032,bytes,
storage,audited_prime_m128,audited_prime,128,16411,3584,one_party_transcript_vectors:optimized_storage_bytes,43008,bytes,
storage,audited_prime_m160,audited_prime,160,25601,4687,M:math_ideal_bytes,41189942,bytes,
storage,audited_prime_m160,audited_prime,160,25601,4687,M:numpy_int64_bytes,175743752,bytes,
storage,audited_prime_m160,audited_prime,160,25601,4687,M:optimized_storage_bytes,43935938,bytes,
storage,audited_prime_m160,audited_prime,160,25601,4687,master_secret_d:math_ideal_bytes,8789,bytes,
storage,audited_prime_m160,audited_prime,160,25601,4687,master_secret_d:numpy_int64_bytes,37496,bytes,
storage,audited_prime_m160,audited_prime,160,25601,4687,master_secret_d:optimized_storage_bytes,9374,bytes,
storage,audited_prime_m160,audited_prime,160,25601,4687,master_public_P:math_ideal_bytes,8789,bytes,
storage,audited_prime_m160,audited_prime,160,25601,4687,master_public_P:numpy_int64_bytes,37496,bytes,
storage,audited_prime_m160,audited_prime,160,25601,4687,master_public_P:optimized_storage_bytes,9374,bytes,
storage,audited_prime_m160,audited_prime,160,25601,4687,user_private_key_d_i0_d_i1:math_ideal_bytes,17577,bytes,
storage,audited_prime_m160,audited_prime,160,25601,4687,user_private_key_d_i0_d_i1:numpy_int64_bytes,74992,bytes,
storage,audited_prime_m160,audited_prime,160,25601,4687,user_private_key_d_i0_d_i1:optimized_storage_bytes,18748,bytes,
storage,audited_prime_m160,audited_prime,160,25601,4687,user_public_key_P_i0_P_i1:math_ideal_bytes,17577,bytes,
storage,audited_prime_m160,audited_prime,160,25601,4687,user_public_key_P_i0_P_i1:numpy_int64_bytes,74992,bytes,
storage,audited_prime_m160,audited_prime,160,25601,4687,user_public_key_P_i0_P_i1:optimized_storage_bytes,18748,bytes,
storage,audited_prime_m160,audited_prime,160,25601,4687,ephemeral_state_x_y_z:math_ideal_bytes,26365,bytes,
storage,audited_prime_m160,audited_prime,160,25601,4687,ephemeral_state_x_y_z:numpy_int64_bytes,112488,bytes,
storage,audited_prime_m160,audited_prime,160,25601,4687,ephemeral_state_x_y_z:optimized_storage_bytes,28122,bytes,
storage,audited_prime_m160,audited_prime,160,25601,4687,one_party_transcript_vectors:math_ideal_bytes,52729,bytes,
storage,audited_prime_m160,audited_prime,160,25601,4687,one_party_transcript_vectors:numpy_int64_bytes,224976,bytes,
storage,audited_prime_m160,audited_prime,160,25601,4687,one_party_transcript_vectors:optimized_storage_bytes,56244,bytes,
storage,audited_prime_m256,audited_prime,256,65537,8192,M:math_ideal_bytes,142606336,bytes,
storage,audited_prime_m256,audited_prime,256,65537,8192,M:numpy_int64_bytes,536870912,bytes,
storage,audited_prime_m256,audited_prime,256,65537,8192,M:optimized_storage_bytes,268435456,bytes,
storage,audited_prime_m256,audited_prime,256,65537,8192,master_secret_d:math_ideal_bytes,17408,bytes,
storage,audited_prime_m256,audited_prime,256,65537,8192,master_secret_d:numpy_int64_bytes,65536,bytes,
storage,audited_prime_m256,audited_prime,256,65537,8192,master_secret_d:optimized_storage_bytes,32768,bytes,
storage,audited_prime_m256,audited_prime,256,65537,8192,master_public_P:math_ideal_bytes,17408,bytes,
storage,audited_prime_m256,audited_prime,256,65537,8192,master_public_P:numpy_int64_bytes,65536,bytes,
storage,audited_prime_m256,audited_prime,256,65537,8192,master_public_P:optimized_storage_bytes,32768,bytes,
storage,audited_prime_m256,audited_prime,256,65537,8192,user_private_key_d_i0_d_i1:math_ideal_bytes,34816,bytes,
storage,audited_prime_m256,audited_prime,256,65537,8192,user_private_key_d_i0_d_i1:numpy_int64_bytes,131072,bytes,
storage,audited_prime_m256,audited_prime,256,65537,8192,user_private_key_d_i0_d_i1:optimized_storage_bytes,65536,bytes,
storage,audited_prime_m256,audited_prime,256,65537,8192,user_public_key_P_i0_P_i1:math_ideal_bytes,34816,bytes,
storage,audited_prime_m256,audited_prime,256,65537,8192,user_public_key_P_i0_P_i1:numpy_int64_bytes,131072,bytes,
storage,audited_prime_m256,audited_prime,256,65537,8192,user_public_key_P_i0_P_i1:optimized_storage_bytes,65536,bytes,
storage,audited_prime_m256,audited_prime,256,65537,8192,ephemeral_state_x_y_z:math_ideal_bytes,52224,bytes,
storage,audited_prime_m256,audited_prime,256,65537,8192,ephemeral_state_x_y_z:numpy_int64_bytes,196608,bytes,
storage,audited_prime_m256,audited_prime,256,65537,8192,ephemeral_state_x_y_z:optimized_storage_bytes,98304,bytes,
storage,audited_prime_m256,audited_prime,256,65537,8192,one_party_transcript_vectors:math_ideal_bytes,104448,bytes,
storage,audited_prime_m256,audited_prime,256,65537,8192,one_party_transcript_vectors:numpy_int64_bytes,393216,bytes,
storage,audited_prime_m256,audited_prime,256,65537,8192,one_party_transcript_vectors:optimized_storage_bytes,196608,bytes,
storage,audited_prime_m32,audited_prime,32,1031,640,M:math_ideal_bytes,563200,bytes,
storage,audited_prime_m32,audited_prime,32,1031,640,M:numpy_int64_bytes,3276800,bytes,
storage,audited_prime_m32,audited_prime,32,1031,640,M:optimized_storage_bytes,819200,bytes,
storage,audited_prime_m32,audited_prime,32,1031,640,master_secret_d:math_ideal_bytes,880,bytes,
storage,audited_prime_m32,audited_prime,32,1031,640,master_secret_d:numpy_int64_bytes,5120,bytes,
storage,audited_prime_m32,audited_prime,32,1031,640,master_secret_d:optimized_storage_bytes,1280,bytes,
storage,audited_prime_m32,audited_prime,32,1031,640,master_public_P:math_ideal_bytes,880,bytes,
storage,audited_prime_m32,audited_prime,32,1031,640,master_public_P:numpy_int64_bytes,5120,bytes,
storage,audited_prime_m32,audited_prime,32,1031,640,master_public_P:optimized_storage_bytes,1280,bytes,
storage,audited_prime_m32,audited_prime,32,1031,640,user_private_key_d_i0_d_i1:math_ideal_bytes,1760,bytes,
storage,audited_prime_m32,audited_prime,32,1031,640,user_private_key_d_i0_d_i1:numpy_int64_bytes,10240,bytes,
storage,audited_prime_m32,audited_prime,32,1031,640,user_private_key_d_i0_d_i1:optimized_storage_bytes,2560,bytes,
storage,audited_prime_m32,audited_prime,32,1031,640,user_public_key_P_i0_P_i1:math_ideal_bytes,1760,bytes,
storage,audited_prime_m32,audited_prime,32,1031,640,user_public_key_P_i0_P_i1:numpy_int64_bytes,10240,bytes,
storage,audited_prime_m32,audited_prime,32,1031,640,user_public_key_P_i0_P_i1:optimized_storage_bytes,2560,bytes,
storage,audited_prime_m32,audited_prime,32,1031,640,ephemeral_state_x_y_z:math_ideal_bytes,2640,bytes,
storage,audited_prime_m32,audited_prime,32,1031,640,ephemeral_state_x_y_z:numpy_int64_bytes,15360,bytes,
storage,audited_prime_m32,audited_prime,32,1031,640,ephemeral_state_x_y_z:optimized_storage_bytes,3840,bytes,
storage,audited_prime_m32,audited_prime,32,1031,640,one_party_transcript_vectors:math_ideal_bytes,5280,bytes,
storage,audited_prime_m32,audited_prime,32,1031,640,one_party_transcript_vectors:numpy_int64_bytes,30720,bytes,
storage,audited_prime_m32,audited_prime,32,1031,640,one_party_transcript_vectors:optimized_storage_bytes,7680,bytes,
storage,audited_prime_m48,audited_prime,48,2309,1073,M:math_ideal_bytes,1726994,bytes,
storage,audited_prime_m48,audited_prime,48,2309,1073,M:numpy_int64_bytes,9210632,bytes,
storage,audited_prime_m48,audited_prime,48,2309,1073,M:optimized_storage_bytes,2302658,bytes,
storage,audited_prime_m48,audited_prime,48,2309,1073,master_secret_d:math_ideal_bytes,1610,bytes,
storage,audited_prime_m48,audited_prime,48,2309,1073,master_secret_d:numpy_int64_bytes,8584,bytes,
storage,audited_prime_m48,audited_prime,48,2309,1073,master_secret_d:optimized_storage_bytes,2146,bytes,
storage,audited_prime_m48,audited_prime,48,2309,1073,master_public_P:math_ideal_bytes,1610,bytes,
storage,audited_prime_m48,audited_prime,48,2309,1073,master_public_P:numpy_int64_bytes,8584,bytes,
storage,audited_prime_m48,audited_prime,48,2309,1073,master_public_P:optimized_storage_bytes,2146,bytes,
storage,audited_prime_m48,audited_prime,48,2309,1073,user_private_key_d_i0_d_i1:math_ideal_bytes,3219,bytes,
storage,audited_prime_m48,audited_prime,48,2309,1073,user_private_key_d_i0_d_i1:numpy_int64_bytes,17168,bytes,
storage,audited_prime_m48,audited_prime,48,2309,1073,user_private_key_d_i0_d_i1:optimized_storage_bytes,4292,bytes,
storage,audited_prime_m48,audited_prime,48,2309,1073,user_public_key_P_i0_P_i1:math_ideal_bytes,3219,bytes,
storage,audited_prime_m48,audited_prime,48,2309,1073,user_public_key_P_i0_P_i1:numpy_int64_bytes,17168,bytes,
storage,audited_prime_m48,audited_prime,48,2309,1073,user_public_key_P_i0_P_i1:optimized_storage_bytes,4292,bytes,
storage,audited_prime_m48,audited_prime,48,2309,1073,ephemeral_state_x_y_z:math_ideal_bytes,4829,bytes,
storage,audited_prime_m48,audited_prime,48,2309,1073,ephemeral_state_x_y_z:numpy_int64_bytes,25752,bytes,
storage,audited_prime_m48,audited_prime,48,2309,1073,ephemeral_state_x_y_z:optimized_storage_bytes,6438,bytes,
storage,audited_prime_m48,audited_prime,48,2309,1073,one_party_transcript_vectors:math_ideal_bytes,9657,bytes,
storage,audited_prime_m48,audited_prime,48,2309,1073,one_party_transcript_vectors:numpy_int64_bytes,51504,bytes,
storage,audited_prime_m48,audited_prime,48,2309,1073,one_party_transcript_vectors:optimized_storage_bytes,12876,bytes,
storage,audited_prime_m64,audited_prime,64,4099,1536,M:math_ideal_bytes,3833856,bytes,
storage,audited_prime_m64,audited_prime,64,4099,1536,M:numpy_int64_bytes,18874368,bytes,
storage,audited_prime_m64,audited_prime,64,4099,1536,M:optimized_storage_bytes,4718592,bytes,
storage,audited_prime_m64,audited_prime,64,4099,1536,master_secret_d:math_ideal_bytes,2496,bytes,
storage,audited_prime_m64,audited_prime,64,4099,1536,master_secret_d:numpy_int64_bytes,12288,bytes,
storage,audited_prime_m64,audited_prime,64,4099,1536,master_secret_d:optimized_storage_bytes,3072,bytes,
storage,audited_prime_m64,audited_prime,64,4099,1536,master_public_P:math_ideal_bytes,2496,bytes,
storage,audited_prime_m64,audited_prime,64,4099,1536,master_public_P:numpy_int64_bytes,12288,bytes,
storage,audited_prime_m64,audited_prime,64,4099,1536,master_public_P:optimized_storage_bytes,3072,bytes,
storage,audited_prime_m64,audited_prime,64,4099,1536,user_private_key_d_i0_d_i1:math_ideal_bytes,4992,bytes,
storage,audited_prime_m64,audited_prime,64,4099,1536,user_private_key_d_i0_d_i1:numpy_int64_bytes,24576,bytes,
storage,audited_prime_m64,audited_prime,64,4099,1536,user_private_key_d_i0_d_i1:optimized_storage_bytes,6144,bytes,
storage,audited_prime_m64,audited_prime,64,4099,1536,user_public_key_P_i0_P_i1:math_ideal_bytes,4992,bytes,
storage,audited_prime_m64,audited_prime,64,4099,1536,user_public_key_P_i0_P_i1:numpy_int64_bytes,24576,bytes,
storage,audited_prime_m64,audited_prime,64,4099,1536,user_public_key_P_i0_P_i1:optimized_storage_bytes,6144,bytes,
storage,audited_prime_m64,audited_prime,64,4099,1536,ephemeral_state_x_y_z:math_ideal_bytes,7488,bytes,
storage,audited_prime_m64,audited_prime,64,4099,1536,ephemeral_state_x_y_z:numpy_int64_bytes,36864,bytes,
storage,audited_prime_m64,audited_prime,64,4099,1536,ephemeral_state_x_y_z:optimized_storage_bytes,9216,bytes,
storage,audited_prime_m64,audited_prime,64,4099,1536,one_party_transcript_vectors:math_ideal_bytes,14976,bytes,
storage,audited_prime_m64,audited_prime,64,4099,1536,one_party_transcript_vectors:numpy_int64_bytes,73728,bytes,
storage,audited_prime_m64,audited_prime,64,4099,1536,one_party_transcript_vectors:optimized_storage_bytes,18432,bytes,
storage,audited_prime_m80,audited_prime,80,6421,2024,M:math_ideal_bytes,6656936,bytes,
storage,audited_prime_m80,audited_prime,80,6421,2024,M:numpy_int64_bytes,32772608,bytes,
storage,audited_prime_m80,audited_prime,80,6421,2024,M:optimized_storage_bytes,8193152,bytes,
storage,audited_prime_m80,audited_prime,80,6421,2024,master_secret_d:math_ideal_bytes,3289,bytes,
