protocol,profile,family,m,q,n,phase,backend,sample_count,failed_count,mean_ms,median_ms,std_ms,min_ms,max_ms,p95_ms,coefficient_of_variation,completed,error_codes
C2LAKE,audited_prime_m112,audited_prime,112,12547,3050,PartialPrivateKeyExtract,fast,100,0,55.6983057,54.103900499999995,6.475103474787878,49.410221,86.876169,74.215248,0.11625314977557528,True,
C2LAKE,audited_prime_m112,audited_prime,112,12547,3050,SetSecretValue,fast,100,0,54.87216281,52.7556515,7.08728520746218,48.921107,92.443239,66.889837,0.1291599391116142,True,
C2LAKE,audited_prime_m112,audited_prime,112,12547,3050,Setup,fast,100,0,128.1689626,124.29874699999999,12.92845413421659,117.147423,187.988117,156.438148,0.10087039695066231,True,
C2LAKE,audited_prime_m112,audited_prime,112,12547,3050,full_handshake,fast,100,0,403.06391169,396.41139499999997,30.816943053414402,368.773712,599.013017,442.327307,0.0764567160681852,True,
C2LAKE,audited_prime_m112,audited_prime,112,12547,3050,initiator_create,fast,100,0,136.67862878,134.76423799999998,9.342745030972827,125.184459,179.427871,151.755074,0.06835556600447794,True,
C2LAKE,audited_prime_m112,audited_prime,112,12547,3050,initiator_total,fast,100,0,200.38003313000002,198.278017,12.558439373849964,180.252517,244.496389,229.10345,0.06267310758304176,True,
C2LAKE,audited_prime_m112,audited_prime,112,12547,3050,initiator_verify_and_finish,fast,100,0,63.701404350000004,62.1816755,7.2899880878125245,54.858544,96.679643,77.527943,0.11443999017287794,True,
C2LAKE,audited_prime_m112,audited_prime,112,12547,3050,responder_total,fast,100,0,197.81460854,196.516276,9.54027459494147,180.876686,230.481218,211.419404,0.04822836222943735,True,
C2LAKE,audited_prime_m112,audited_prime,112,12547,3050,responder_verify_and_reply,fast,100,0,197.81460854,196.516276,9.54027459494147,180.876686,230.481218,211.419404,0.04822836222943735,True,
C2LAKE,audited_prime_m128,audited_prime,128,16411,3584,PartialPrivateKeyExtract,fast,100,0,146.89097579,146.189843,5.53077258341275,137.715177,171.998051,155.171033,0.03765222848896938,True,
C2LAKE,audited_prime_m128,audited_prime,128,16411,3584,SetSecretValue,fast,100,0,146.15732636,143.7320325,8.718206940636273,136.96915,183.260707,164.756618,0.05964946922443329,True,
C2LAKE,audited_prime_m128,audited_prime,128,16411,3584,Setup,fast,100,0,242.44363130999997,239.763893,11.748394541010029,228.486222,297.404845,265.941951,0.048458251831692674,True,
C2LAKE,audited_prime_m128,audited_prime,128,16411,3584,full_handshake,fast,100,0,813.68556217,807.1324775,32.868810586883576,776.202363,953.479231,880.035691,0.0403949782508448,True,
C2LAKE,audited_prime_m128,audited_prime,128,16411,3584,initiator_create,fast,100,0,254.9814312,249.3314785,27.86439121779337,237.956518,499.621182,286.354518,0.10928008006958496,True,
C2LAKE,audited_prime_m128,audited_prime,128,16411,3584,initiator_total,fast,100,0,410.34432838,402.356476,45.77450546053943,382.104249,833.137,444.374348,0.1115514515364518,True,
C2LAKE,audited_prime_m128,audited_prime,128,16411,3584,initiator_verify_and_finish,fast,100,0,155.36289718,152.201806,19.67734256090512,142.845778,333.515818,168.406224,0.12665406553346767,True,
C2LAKE,audited_prime_m128,audited_prime,128,16411,3584,responder_total,fast,100,0,408.72779681,402.094912,40.018905579518375,384.825584,781.986644,433.520787,0.09791089789305778,True,
C2LAKE,audited_prime_m128,audited_prime,128,16411,3584,responder_verify_and_reply,fast,100,0,408.72779681,402.094912,40.018905579518375,384.825584,781.986644,433.520787,0.09791089789305778,True,
C2LAKE,audited_prime_m160,audited_prime,160,25601,4687,PartialPrivateKeyExtract,fast,100,0,154.85195557,152.29349200000001,8.368327321133918,147.106083,206.634343,168.302967,0.054040824284915544,True,
C2LAKE,audited_prime_m160,audited_prime,160,25601,4687,SetSecretValue,fast,100,0,155.0794148,152.61065,9.99556982316021,145.533609,201.924272,178.912488,0.06445452374224596,True,
C2LAKE,audited_prime_m160,audited_prime,160,25601,4687,Setup,fast,100,0,323.13763458,318.790751,13.647114203398507,309.105141,381.83674,352.786835,0.04223313146776117,True,
C2LAKE,audited_prime_m160,audited_prime,160,25601,4687,full_handshake,fast,100,0,1067.43326306,1045.227577,55.30534692529704,1005.808626,1394.134789,1160.814726,0.051811526621115184,True,
C2LAKE,audited_prime_m160,audited_prime,160,25601,4687,initiator_create,fast,100,0,365.18855177999995,362.082153,13.6662714310841,348.691901,462.589944,381.811688,0.03742250780993007,True,
C2LAKE,audited_prime_m160,audited_prime,160,25601,4687,initiator_total,fast,100,0,529.3171891000001,524.2235415,19.928694860026184,508.558087,628.206081,552.772836,0.03764981616015723,True,
C2LAKE,audited_prime_m160,audited_prime,160,25601,4687,initiator_verify_and_finish,fast,100,0,164.12863732000002,160.7850725,14.758389557774475,154.955442,271.342339,173.883234,0.08991964960386642,True,
C2LAKE,audited_prime_m160,audited_prime,160,25601,4687,responder_total,fast,100,0,530.77903407,521.8685204999999,28.376351615427957,501.986897,688.95612,583.279052,0.05346170401238124,True,
C2LAKE,audited_prime_m160,audited_prime,160,25601,4687,responder_verify_and_reply,fast,100,0,530.77903407,521.8685204999999,28.376351615427957,501.986897,688.95612,583.279052,0.05346170401238124,True,
C2LAKE,audited_prime_m256,audited_prime,256,65537,8192,PartialPrivateKeyExtract,fast,0,100,,,,,,,,False,timeout
C2LAKE,audited_prime_m256,audited_prime,256,65537,8192,SetSecretValue,fast,0,100,,,,,,,,False,timeout
C2LAKE,audited_prime_m256,audited_prime,256,65537,8192,Setup,fast,0,100,,,,,,,,False,timeout
C2LAKE,audited_prime_m256,audited_prime,256,65537,8192,full_handshake,fast,0,100,,,,,,,,False,timeout
C2LAKE,audited_prime_m256,audited_prime,256,65537,8192,initiator_create,fast,0,100,,,,,,,,False,timeout
C2LAKE,audited_prime_m256,audited_prime,256,65537,8192,initiator_total,fast,0,100,,,,,,,,False,timeout
C2LAKE,audited_prime_m256,audited_prime,256,65537,8192,initiator_verify_and_finish,fast,0,100,,,,,,,,False,timeout
C2LAKE,audited_prime_m256,audited_prime,256,65537,8192,responder_total,fast,0,100,,,,,,,,False,timeout
C2LAKE,audited_prime_m256,audited_prime,256,65537,8192,responder_verify_and_reply,fast,0,100,,,,,,,,False,timeout
C2LAKE,audited_prime_m32,audited_prime,32,1031,640,PartialPrivateKeyExtract,fast,100,0,4.2662172,3.436998,2.628395989972776,1.318897,13.971677,9.545662,0.6160952119298512,True,
C2LAKE,audited_prime_m32,audited_prime,32,1031,640,SetSecretValue,fast,100,0,2.27834302,2.2088875000000003,0.35066236319009225,1.915548,4.320192,2.590419,0.15391113634420697,True,
C2LAKE,audited_prime_m32,audited_prime,32,1031,640,Setup,fast,100,0,13.344833020000001,12.909122,1.9270136083163618,11.876083,28.803543,14.275908,0.14440147774260886,True,
C2LAKE,audited_prime_m32,audited_prime,32,1031,640,full_handshake,fast,100,0,60.03650449,56.127342,20.896694902637165,23.896798,116.281247,105.510487,0.348066481887163,True,
C2LAKE,audited_prime_m32,audited_prime,32,1031,640,initiator_create,fast,100,0,7.291016979999999,6.2388925,3.5672309132788507,3.608298,19.883256,15.002409,0.48926383288697967,True,
