family,phase,timing_boundary,completed_point_count,spearman_rho,monotonic_increasing,paper_monotonic_increasing,reproduced_monotonic_increasing,trend_interpretation
audited_prime,Key_Agreement,full_handshake,8,1.0,True,True,True,spearman_trend_correlation_only_not_absolute_timing_reproduction
audited_prime,Key_Agreement,initiator_total,8,1.0,True,True,True,spearman_trend_correlation_only_not_absolute_timing_reproduction
audited_prime,Key_Agreement,responder_total,8,1.0,True,True,True,spearman_trend_correlation_only_not_absolute_timing_reproduction
audited_prime,PartialPrivateKeyExtract,partial_private_key_extract,8,1.0,True,True,True,spearman_trend_correlation_only_not_absolute_timing_reproduction
audited_prime,SetSecretValue,set_secret_value,8,1.0,True,True,True,spearman_trend_correlation_only_not_absolute_timing_reproduction
audited_prime,Setup,setup,8,1.0,True,True,True,spearman_trend_correlation_only_not_absolute_timing_reproduction
paper_literal,Key_Agreement,full_handshake,8,1.0,True,True,True,spearman_trend_correlation_only_not_absolute_timing_reproduction
paper_literal,Key_Agreement,initiator_total,8,1.0,True,True,True,spearman_trend_correlation_only_not_absolute_timing_reproduction
paper_literal,Key_Agreement,responder_total,8,1.0,True,True,True,spearman_trend_correlation_only_not_absolute_timing_reproduction
paper_literal,PartialPrivateKeyExtract,partial_private_key_extract,8,0.9761904761904762,False,True,False,spearman_trend_correlation_only_not_absolute_timing_reproduction
paper_literal,SetSecretValue,set_secret_value,8,0.9761904761904762,False,True,False,spearman_trend_correlation_only_not_absolute_timing_reproduction
paper_literal,Setup,setup,8,1.0,True,True,True,spearman_trend_correlation_only_not_absolute_timing_reproduction
