panel,scheme,entities,value,unit,formula_id,evidence_class,status
rounds,Feng et al. [23],2,4,rounds,F5-other-rounds,paper_reported_reference,reconstructed
fields,Feng et al. [23],2,10,fields,F5-Feng-fields,paper_reported_reference,paper_reported_reference
bits,Feng et al. [23],2,8448,bits,F5-other-bits,paper_reported_reference,reconstructed_partial
rounds,Dabra et al. [34],2,4,rounds,F5-other-rounds,paper_reported_reference,reconstructed
fields,Dabra et al. [34],2,11,fields,F5-Dabra-Ding-fields,paper_reported_reference,paper_reported_reference
bits,Dabra et al. [34],2,13064,bits,F5-other-bits,paper_reported_reference,reconstructed_partial
rounds,Ding et al. [35],2,4,rounds,F5-other-rounds,paper_reported_reference,reconstructed
fields,Ding et al. [35],2,11,fields,F5-Dabra-Ding-fields,paper_reported_reference,paper_reported_reference
bits,Ding et al. [35],2,16672,bits,F5-other-bits,paper_reported_reference,reconstructed_partial
rounds,LCLA-AKA,2,3,rounds,F5-LCLA-rounds,lcla_derived,paper_reported_reference
fields,LCLA-AKA,2,7,fields,F5-LCLA-fields,lcla_derived,paper_reported_reference_reinterpreted_fields
bits,LCLA-AKA,2,3147008,bits,F5-LCLA-bits,lcla_derived,reconstructed
rounds,Feng et al. [23],4,6,rounds,F5-other-rounds,paper_reported_reference,reconstructed
fields,Feng et al. [23],4,16,fields,F5-Feng-fields,paper_reported_reference,paper_reported_reference
bits,Feng et al. [23],4,16640,bits,F5-other-bits,paper_reported_reference,reconstructed_partial
rounds,Dabra et al. [34],4,6,rounds,F5-other-rounds,paper_reported_reference,reconstructed
fields,Dabra et al. [34],4,17,fields,F5-Dabra-Ding-fields,paper_reported_reference,paper_reported_reference
bits,Dabra et al. [34],4,25864,bits,F5-other-bits,paper_reported_reference,reconstructed_partial
rounds,Ding et al. [35],4,6,rounds,F5-other-rounds,paper_reported_reference,reconstructed
fields,Ding et al. [35],4,17,fields,F5-Dabra-Ding-fields,paper_reported_reference,paper_reported_reference
bits,Ding et al. [35],4,33088,bits,F5-other-bits,paper_reported_reference,reconstructed_partial
rounds,LCLA-AKA,4,3,rounds,F5-LCLA-rounds,lcla_derived,paper_reported_reference
fields,LCLA-AKA,4,7,fields,F5-LCLA-fields,lcla_derived,paper_reported_reference_reinterpreted_fields
bits,LCLA-AKA,4,3147008,bits,F5-LCLA-bits,lcla_derived,reconstructed
rounds,Feng et al. [23],6,8,rounds,F5-other-rounds,paper_reported_reference,reconstructed
fields,Feng et al. [23],6,22,fields,F5-Feng-fields,paper_reported_reference,paper_reported_reference
bits,Feng et al. [23],6,24832,bits,F5-other-bits,paper_reported_reference,reconstructed_partial
rounds,Dabra et al. [34],6,8,rounds,F5-other-rounds,paper_reported_reference,reconstructed
fields,Dabra et al. [34],6,23,fields,F5-Dabra-Ding-fields,paper_reported_reference,paper_reported_reference
bits,Dabra et al. [34],6,38664,bits,F5-other-bits,paper_reported_reference,reconstructed_partial
rounds,Ding et al. [35],6,8,rounds,F5-other-rounds,paper_reported_reference,reconstructed
