profile,backend,paper_operation,paper_time_ms,reproduced_mean_ms,reproduced_median_ms,absolute_error_ms,relative_error_percent,source_printed_page,timing_equivalence
paper_performance,numpy_reference,T_H1,0.002,0.0150105,0.0150105,0.0130105,650.525,9222,not_strictly_equivalent_numpy_reference
paper_performance,numpy_reference,T_H2,0.005,20.950546,20.950546,20.945546,418910.92,9222,not_strictly_equivalent_numpy_reference
paper_performance,numpy_reference,T_Mod,0.837,0.092086,0.092086,0.744914,88.99808841099164,9222,not_strictly_equivalent_numpy_reference
paper_performance,numpy_reference,T_Samp0,0.013,0.055183499999999996,0.055183499999999996,0.0421835,324.48846153846154,9222,not_strictly_equivalent_numpy_reference
paper_performance,numpy_reference,T_Samp1,0.291,1.2005685000000001,1.2005685000000001,0.9095685000000002,312.5664948453609,9222,not_strictly_equivalent_numpy_reference
paper_performance,numpy_reference,T_Samp2,0.004,0.10624549999999999,0.10624549999999999,0.10224549999999999,2556.1375,9222,not_strictly_equivalent_numpy_reference
paper_performance,numpy_reference,T_Sign,0.014,0.8261205,0.8261205,0.8121205,5800.8607142857145,9222,not_strictly_equivalent_numpy_reference
paper_performance,numpy_reference,T_add0,0.267,16.31109,16.31109,16.04409,6009.0224719101125,9222,not_strictly_equivalent_numpy_reference
paper_performance,numpy_reference,T_add1,0.001,0.07830799999999999,0.07830799999999999,0.07730799999999999,7730.799999999999,9222,not_strictly_equivalent_numpy_reference
paper_performance,numpy_reference,T_mod0,0.173,0.52641,0.52641,0.35341000000000006,204.28323699421972,9222,not_strictly_equivalent_numpy_reference
paper_performance,numpy_reference,T_mod1,0.002,0.005438500000000001,0.005438500000000001,0.0034385000000000006,171.925,9222,not_strictly_equivalent_numpy_reference
paper_performance,numpy_reference,T_mul0,1.313,0.877316,0.877316,0.43568399999999996,33.18233054074638,9222,not_strictly_equivalent_numpy_reference
paper_performance,numpy_reference,T_mul1,0.145,0.0802185,0.0802185,0.06478149999999999,44.67689655172414,9222,not_strictly_equivalent_numpy_reference
paper_performance,numpy_reference,T_mul2,0.004,0.034816,0.034816,0.030816,770.4,9222,not_strictly_equivalent_numpy_reference
paper_performance,numpy_reference,T_xor,0.001,0.0130815,0.0130815,0.012081499999999998,1208.1499999999999,9222,not_strictly_equivalent_numpy_reference
toy,numpy_reference,T_H1,0.002,0.011228499999999999,0.011228499999999999,0.009228499999999999,461.42499999999995,9222,not_strictly_equivalent_numpy_reference
toy,numpy_reference,T_H2,0.005,0.38223399999999996,0.38223399999999996,0.37723399999999996,7544.679999999999,9222,not_strictly_equivalent_numpy_reference
toy,numpy_reference,T_Mod,0.837,0.029917,0.029917,0.807083,96.42568697729989,9222,not_strictly_equivalent_numpy_reference
toy,numpy_reference,T_Samp0,0.013,0.040292999999999995,0.040292999999999995,0.027292999999999998,209.94615384615383,9222,not_strictly_equivalent_numpy_reference
toy,numpy_reference,T_Samp1,0.291,0.0940355,0.0940355,0.1969645,67.68539518900344,9222,not_strictly_equivalent_numpy_reference
toy,numpy_reference,T_Samp2,0.004,0.0755885,0.0755885,0.0715885,1789.7124999999999,9222,not_strictly_equivalent_numpy_reference
toy,numpy_reference,T_Sign,0.014,0.20202799999999999,0.20202799999999999,0.18802799999999997,1343.0571428571425,9222,not_strictly_equivalent_numpy_reference
toy,numpy_reference,T_add0,0.267,0.233991,0.233991,0.03300900000000001,12.36292134831461,9222,not_strictly_equivalent_numpy_reference
toy,numpy_reference,T_add1,0.001,0.015347,0.015347,0.014346999999999999,1434.6999999999998,9222,not_strictly_equivalent_numpy_reference
toy,numpy_reference,T_mod0,0.173,0.0125135,0.0125135,0.16048649999999998,92.76676300578033,9222,not_strictly_equivalent_numpy_reference
toy,numpy_reference,T_mod1,0.002,0.0026804999999999997,0.0026804999999999997,0.0006804999999999997,34.024999999999984,9222,not_strictly_equivalent_numpy_reference
toy,numpy_reference,T_mul0,1.313,0.033992499999999995,0.033992499999999995,1.2790074999999999,97.41108149276465,9222,not_strictly_equivalent_numpy_reference
toy,numpy_reference,T_mul1,0.145,0.024333,0.024333,0.120667,83.21862068965518,9222,not_strictly_equivalent_numpy_reference
toy,numpy_reference,T_mul2,0.004,0.0188165,0.0188165,0.0148165,370.41249999999997,9222,not_strictly_equivalent_numpy_reference
toy,numpy_reference,T_xor,0.001,0.0046215,0.0046215,0.0036214999999999997,362.15,9222,not_strictly_equivalent_numpy_reference
